Model,Invariance,Inv_N,Directional,Dir_N,Shortcut,SC_N,Global,Global_N
flan-t5-large,0.973,526,0.920,374,0.817,2035,0.858,2935
flan-t5-xl,0.975,526,0.909,374,0.721,2035,0.790,2935
gemma-3-27b,0.656,526,0.773,374,0.045,2035,0.247,2935
gpt-4.1,0.833,526,0.741,374,0.245,2035,0.414,2935
llama-3.1-70b,0.627,526,0.797,374,0.032,2035,0.236,2935
llama-3.1-8b,0.152,526,0.821,374,0.058,2035,0.172,2935
qwen2.5-32b,0.755,526,0.898,374,0.168,2035,0.366,2935
