model,total,inv_rel,inv_n,inv_n_total,dir_rel,dir_n,sc_rel,sc_n,global_rel,global_n,invariance_t1,invariance_t1_n,invariance_t2,invariance_t2_n,directional_t1,directional_t1_n,directional_t2,directional_t2_n,shortcut_t1,shortcut_t1_n,shortcut_t2,shortcut_t2_n
flan-t5-large,4970,0.9734,526,2561,0.9198,374,0.8167,2035,0.8579,2935,0.9737,457,0.971,69,0.9222,360,0.8571,14,0.8127,1714,0.838,321
flan-t5-xl,4969,0.9753,526,2560,0.9091,374,0.7209,2035,0.7905,2935,0.9759,457,0.971,69,0.9111,360,0.8571,14,0.7077,1714,0.7913,321
gemma-3-27b,2935,0.6559,526,526,0.7727,374,0.0452,2035,0.2474,2935,0.6543,457,0.6667,69,0.7694,360,0.8571,14,0.042,1714,0.0623,321
gpt-4.1,4094,0.8327,526,1685,0.7406,374,0.2452,2035,0.4136,2935,0.8271,457,0.8696,69,0.7417,360,0.7143,14,0.2322,1714,0.3146,321
llama-3.1-70b,4970,0.6274,526,2561,0.7968,374,0.0324,2035,0.2365,2935,0.6368,457,0.5652,69,0.7944,360,0.8571,14,0.0315,1714,0.0374,321
llama-3.1-8b,4970,0.1521,526,2561,0.8209,374,0.0575,2035,0.1717,2935,0.1444,457,0.2029,69,0.8194,360,0.8571,14,0.0548,1714,0.0717,321
qwen2.5-32b,3776,0.7548,526,1367,0.8984,374,0.1676,2035,0.3659,2935,0.744,457,0.8261,69,0.8972,360,0.9286,14,0.1599,1714,0.2087,321
