Model,ASSET_INV,ASSET_DIR,ASSET_SHO,OneStopEnglish_INV,OneStopEnglish_DIR,OneStopEnglish_SHO,TSAR2025_INV,TSAR2025_DIR,TSAR2025_SHO
flan-t5-large,0.972,0.000,0.819,0.000,0.920,0.000,1.000,0.000,0.725
flan-t5-xl,0.974,0.000,0.722,0.000,0.909,0.000,1.000,0.000,0.650
gemma-3-27b,0.640,0.000,0.045,0.000,0.773,0.000,0.906,0.000,0.050
gpt-4.1,0.822,0.000,0.249,0.000,0.741,0.000,1.000,0.000,0.075
llama-3.1-70b,0.607,0.000,0.030,0.000,0.797,0.000,0.938,0.000,0.150
llama-3.1-8b,0.158,0.000,0.056,0.000,0.821,0.000,0.062,0.000,0.150
qwen2.5-32b,0.781,0.000,0.169,0.000,0.898,0.000,0.344,0.000,0.075
